District,Crop,Year,Predicted_Production
Adilabad,bajra,2025,1098.19
Adilabad,banana,2025,1500.44
Adilabad,beans & mutter(vegetable),2025,899.46
Adilabad,bhindi,2025,898.77
Adilabad,blackgram,2025,4310.99
Adilabad,bottle gourd,2025,2103.66
Adilabad,brinjal,2025,4671.93
Adilabad,cabbage,2025,278.35
Adilabad,cashewnut,2025,27.68
Adilabad,castor seed,2025,96.63
Adilabad,chickpea,2025,10198.36
Adilabad,citrus fruit,2025,5692.35
Adilabad,coriander,2025,548.98
Adilabad,cotton,2025,723.66
Adilabad,cowpea(lobia),2025,211.96
Adilabad,cucumber,2025,190.08
Adilabad,dry chillies,2025,3255.11
Adilabad,garlic,2025,760.39
Adilabad,ginger,2025,721.12
Adilabad,groundnut,2025,1945.0
Adilabad,horse-gram,2025,262.08
Adilabad,jowar,2025,15552.11
Adilabad,lentil,2025,8038.72
Adilabad,linseed,2025,230.44
Adilabad,maize,2025,2214.0
Adilabad,mango,2025,3963.62
Adilabad,mesta,2025,1035.13
Adilabad,mungbean,2025,4910.22
Adilabad,onion,2025,10874.96
Adilabad,orange,2025,2466.34
Adilabad,other fibres,2025,219.09
Adilabad,other fresh fruits,2025,243.84
Adilabad,other kharif pulses,2025,67.5
Adilabad,other misc. pulses,2025,67.5
Adilabad,other oilseeds,2025,639.26
Adilabad,other rabi pulses,2025,415.7
Adilabad,other vegetables,2025,734.26
Adilabad,pigeonpeas,2025,736.27
Adilabad,pomegranate,2025,3116.13
Adilabad,potato,2025,5073.62
Adilabad,ragi,2025,846.35
Adilabad,rapeseed &mustard,2025,770.92
Adilabad,rice,2025,1520.5
Adilabad,safflower,2025,163.6
Adilabad,samai,2025,33.91
Adilabad,sesamum,2025,1880.05
Adilabad,small millets,2025,2797.11
Adilabad,soyabean,2025,729.0
Adilabad,sugarcane,2025,433.98
Adilabad,sunflower,2025,633.16
Adilabad,sweet potato,2025,452.84
Adilabad,tobacco,2025,232.37
Adilabad,tomato,2025,2317.18
Adilabad,turmeric,2025,709.32
Adilabad,varagu,2025,493.44
Adilabad,wheat,2025,2865.25
Adilabad,barley,2025,4761.4
Adilabad,dry ginger,2025,3234.65
Adilabad,other  rabi pulses,2025,111.9
Adilabad,peas & beans (pulses),2025,159.55
Adilabad,sannhamp,2025,24.25
Adilabad,guar seed,2025,173.14
Adilabad,jute,2025,7938.83
Adilabad,moth,2025,1250.1
Adilabad,oilseeds total,2025,4445.31
Adilabad,total foodgrain,2025,5714.8
Adilabad,other cereals & millets,2025,311.4
Adilabad,pulses total,2025,6724.23
Adilabad,grapes,2025,753.75
Adilabad,niger seed,2025,620.04
Adilabad,coconut,2025,5686.01
Adilabad,kapas,2025,7938.83
Adilabad,tapioca,2025,638.4
Adilabad,arecanut,2025,1077.74
Adilabad,bitter gourd,2025,794.1
Adilabad,black pepper,2025,894.66
Adilabad,cashewnut raw,2025,95.2
Adilabad,drum stick,2025,875.52
Adilabad,jack fruit,2025,389.53
Adilabad,papaya,2025,6314.64
Adilabad,pineapple,2025,1324.14
Adilabad,pump kin,2025,2119.01
Adilabad,rubber,2025,163.6
Adilabad,snak guard,2025,2307.5
Adilabad,watermelon,2025,493.32
Adilabad,korra,2025,8016.76
Adilabad,lemon,2025,8069.74
Adilabad,sapota,2025,977.39
Adilabad,cond-spcs other,2025,548.98
Adilabad,paddy,2025,11039.34
Adilabad,cauliflower,2025,96.63
Adilabad,khesari,2025,7938.83
Adilabad,other citrus fruit,2025,219.86
Adilabad,arcanut (processed),2025,1077.74
Adilabad,atcanut (raw),2025,1098.19
Adilabad,cardamom,2025,28.34
Adilabad,cashewnut processed,2025,31.6
Adilabad,carrot,2025,29.3
Adilabad,redish,2025,271.3
Adilabad,peas  (vegetable),2025,159.55
Adilabad,ash gourd,2025,1077.74
Adilabad,beet root,2025,906.89
Adilabad,lab-lab,2025,8069.74
Adilabad,ribed guard,2025,239.15
Adilabad,yam,2025,2865.25
Adilabad,jute & mesta,2025,7938.83
Adilabad,colocosia,2025,5770.02
Adilabad,tea,2025,294.1
Adilabad,apple,2025,1077.74
Adilabad,peach,2025,300.09
Adilabad,pear,2025,222.31
Adilabad,plums,2025,2976.3
Adilabad,turnip,2025,695.98
Adilabad,coffee,2025,5770.02
Adilabad,bean,2025,899.46
Adilabad,jobster,2025,389.53
Adilabad,perilla,2025,158.8
Adilabad,rajmash kholar,2025,941.12
Adilabad,ricebean (nagadal),2025,163.6
Adilabad,litchi,2025,230.44
Adilabad,peas (vegetable),2025,159.55
Adilabad,ber,2025,898.77
Adilabad,other dry fruit,2025,191.7
Agar Malwa,bajra,2025,1058.97
Agar Malwa,banana,2025,1500.5
Agar Malwa,beans & mutter(vegetable),2025,899.46
Agar Malwa,bhindi,2025,898.77
Agar Malwa,blackgram,2025,1867.69
Agar Malwa,bottle gourd,2025,1034.24
Agar Malwa,brinjal,2025,10368.55
Agar Malwa,cabbage,2025,278.35
Agar Malwa,cashewnut,2025,27.68
Agar Malwa,castor seed,2025,96.63
Agar Malwa,chickpea,2025,7044.76
Agar Malwa,citrus fruit,2025,4477.3
